Waypoint,x,y
1,0,0.1
2,0.001,0.001121903
3,0.002,0.002243242
4,0.003,0.00336345
5,0.004,0.004481965
6,0.005,0.005598224
7,0.006,0.006711663
8,0.007,0.007821723
9,0.008,0.008927845
10,0.009,0.010029471
11,0.01,0.011126047
12,0.011,0.01221702
13,0.012,0.013301842
14,0.013,0.014379966
15,0.014,0.01545085
16,0.015,0.016513953
17,0.016,0.017568741
18,0.017,0.018614683
19,0.018,0.019651252
20,0.019,0.020677925
21,0.02,0.021694187
22,0.021,0.022699525
23,0.022,0.023693433
24,0.023,0.024675411
25,0.024,0.025644964
26,0.025,0.026601604
27,0.026,0.027544849
28,0.027,0.028474225
29,0.028,0.029389263
30,0.029,0.030289502
31,0.03,0.03117449
32,0.031,0.032043781
33,0.032,0.032896936
34,0.033,0.033733527
35,0.034,0.034553132
36,0.035,0.035355339
37,0.036,0.036139743
38,0.037,0.03690595
39,0.038,0.037653573
40,0.039,0.038382237
41,0.04,0.039091574
42,0.041,0.039781227
43,0.042,0.04045085
44,0.043,0.041100104
45,0.044,0.041728663
46,0.045,0.04233621
47,0.046,0.04292244
48,0.047,0.043487057
49,0.048,0.044029777
50,0.049,0.044550326
51,0.05,0.045048443
52,0.051,0.045523877
53,0.052,0.045976389
54,0.053,0.046405749
55,0.054,0.046811744
56,0.055,0.047194167
57,0.056,0.047552826
58,0.057,0.047887541
59,0.058,0.048198143
60,0.059,0.048484476
61,0.06,0.048746396
62,0.061,0.04898377
63,0.062,0.049196479
64,0.063,0.049384417
65,0.064,0.049547488
66,0.065,0.04968561
67,0.066,0.049798715
68,0.067,0.049886744
69,0.068,0.049949653
70,0.069,0.049987412
71,0.07,0.05
72,0.071,0.049987412
73,0.072,0.049949653
74,0.073,0.049886744
75,0.074,0.049798715
76,0.075,0.04968561
77,0.076,0.049547488
78,0.077,0.049384417
79,0.078,0.049196479
80,0.079,0.04898377
81,0.08,0.048746396
82,0.081,0.048484476
83,0.082,0.048198143
84,0.083,0.047887541
85,0.084,0.047552826
86,0.085,0.047194167
87,0.086,0.046811744
88,0.087,0.046405749
89,0.088,0.045976389
90,0.089,0.045523877
91,0.09,0.045048443
92,0.091,0.044550326
93,0.092,0.044029777
94,0.093,0.043487057
95,0.094,0.04292244
96,0.095,0.04233621
97,0.096,0.041728663
98,0.097,0.041100104
99,0.098,0.04045085
100,0.099,0.039781227
101,0.1,0.039091574
102,0.101,0.038382237
103,0.102,0.037653573
104,0.103,0.03690595
105,0.104,0.036139743
106,0.105,0.035355339
107,0.106,0.034553132
108,0.107,0.033733527
109,0.108,0.032896936
110,0.109,0.032043781
111,0.11,0.03117449
112,0.111,0.030289502
113,0.112,0.029389263
114,0.113,0.028474225
115,0.114,0.027544849
116,0.115,0.026601604
117,0.116,0.025644964
118,0.117,0.024675411
119,0.118,0.023693433
120,0.119,0.022699525
121,0.12,0.021694187
122,0.121,0.020677925
123,0.122,0.019651252
124,0.123,0.018614683
125,0.124,0.017568741
126,0.125,0.016513953
127,0.126,0.01545085
128,0.127,0.014379966
129,0.128,0.013301842
130,0.129,0.01221702
131,0.13,0.011126047
132,0.131,0.010029471
133,0.132,0.008927845
134,0.133,0.007821723
135,0.134,0.006711663
136,0.135,0.005598224
137,0.136,0.004481965
138,0.137,0.00336345
139,0.138,0.002243242
140,0.139,0.001121903
141,0.14,-8.26921E-17
142,0.141,-0.001121903
143,0.142,-0.002243242
144,0.143,-0.00336345
145,0.144,-0.004481965
146,0.145,-0.005598224
147,0.146,-0.006711663
148,0.147,-0.007821723
149,0.148,-0.008927845
150,0.149,-0.010029471
151,0.15,-0.011126047
152,0.151,-0.01221702
153,0.152,-0.013301842
154,0.153,-0.014379966
155,0.154,-0.01545085
156,0.155,-0.016513953
157,0.156,-0.017568741
158,0.157,-0.018614683
159,0.158,-0.019651252
160,0.159,-0.020677925
161,0.16,-0.021694187
162,0.161,-0.022699525
163,0.162,-0.023693433
164,0.163,-0.024675411
165,0.164,-0.025644964
166,0.165,-0.026601604
167,0.166,-0.027544849
168,0.167,-0.028474225
169,0.168,-0.029389263
170,0.169,-0.030289502
171,0.17,-0.03117449
172,0.171,-0.032043781
173,0.172,-0.032896936
174,0.173,-0.033733527
175,0.174,-0.034553132
176,0.175,-0.035355339
177,0.176,-0.036139743
178,0.177,-0.03690595
179,0.178,-0.037653573
180,0.179,-0.038382237
181,0.18,-0.039091574
182,0.181,-0.039781227
183,0.182,-0.04045085
184,0.183,-0.041100104
185,0.184,-0.041728663
186,0.185,-0.04233621
187,0.186,-0.04292244
188,0.187,-0.043487057
189,0.188,-0.044029777
190,0.189,-0.044550326
191,0.19,-0.045048443
192,0.191,-0.045523877
193,0.192,-0.045976389
194,0.193,-0.046405749
195,0.194,-0.046811744
196,0.195,-0.047194167
197,0.196,-0.047552826
198,0.197,-0.047887541
199,0.198,-0.048198143
200,0.199,-0.048484476
201,0.2,-0.048746396
202,0.201,-0.04898377
203,0.202,-0.049196479
204,0.203,-0.049384417
205,0.204,-0.049547488
206,0.205,-0.04968561
207,0.206,-0.049798715
208,0.207,-0.049886744
209,0.208,-0.049949653
210,0.209,-0.049987412
211,0.21,-0.05
212,0.211,-0.049987412
213,0.212,-0.049949653
214,0.213,-0.049886744
215,0.214,-0.049798715
216,0.215,-0.04968561
217,0.216,-0.049547488
218,0.217,-0.049384417
219,0.218,-0.049196479
220,0.219,-0.04898377
221,0.22,-0.048746396
222,0.221,-0.048484476
223,0.222,-0.048198143
224,0.223,-0.047887541
225,0.224,-0.047552826
226,0.225,-0.047194167
227,0.226,-0.046811744
228,0.227,-0.046405749
229,0.228,-0.045976389
230,0.229,-0.045523877
231,0.23,-0.045048443
232,0.231,-0.044550326
233,0.232,-0.044029777
234,0.233,-0.043487057
235,0.234,-0.04292244
236,0.235,-0.04233621
237,0.236,-0.041728663
238,0.237,-0.041100104
239,0.238,-0.04045085
240,0.239,-0.039781227
241,0.24,-0.039091574
242,0.241,-0.038382237
243,0.242,-0.037653573
244,0.243,-0.03690595
245,0.244,-0.036139743
246,0.245,-0.035355339
247,0.246,-0.034553132
248,0.247,-0.033733527
249,0.248,-0.032896936
250,0.249,-0.032043781
251,0.25,-0.03117449
252,0.251,-0.030289502
253,0.252,-0.029389263
254,0.253,-0.028474225
255,0.254,-0.027544849
256,0.255,-0.026601604
257,0.256,-0.025644964
258,0.257,-0.024675411
259,0.258,-0.023693433
260,0.259,-0.022699525
261,0.26,-0.021694187
262,0.261,-0.020677925
263,0.262,-0.019651252
264,0.263,-0.018614683
265,0.264,-0.017568741
266,0.265,-0.016513953
267,0.266,-0.01545085
268,0.267,-0.014379966
269,0.268,-0.013301842
270,0.269,-0.01221702
271,0.27,-0.011126047
272,0.271,-0.010029471
273,0.272,-0.008927845
274,0.273,-0.007821723
275,0.274,-0.006711663
276,0.275,-0.005598224
277,0.276,-0.004481965
278,0.277,-0.00336345
279,0.278,-0.002243242
280,0.279,-0.001121903
281,0.28,1.65384E-16
282,0.281,0.001121903
283,0.282,0.002243242
284,0.283,0.00336345
285,0.284,0.004481965
286,0.285,0.005598224
287,0.286,0.006711663
288,0.287,0.007821723
289,0.288,0.008927845
290,0.289,0.010029471
291,0.29,0.011126047
292,0.291,0.01221702
293,0.292,0.013301842
294,0.293,0.014379966
295,0.294,0.01545085
296,0.295,0.016513953
297,0.296,0.017568741
298,0.297,0.018614683
299,0.298,0.019651252
300,0.299,0.020677925
301,0.3,0.021694187
302,0.301,0.022699525
303,0.302,0.023693433
304,0.303,0.024675411
305,0.304,0.025644964
306,0.305,0.026601604
307,0.306,0.027544849
308,0.307,0.028474225
309,0.308,0.029389263
310,0.309,0.030289502
311,0.31,0.03117449
312,0.311,0.032043781
313,0.312,0.032896936
314,0.313,0.033733527
315,0.314,0.034553132
316,0.315,0.035355339
317,0.316,0.036139743
318,0.317,0.03690595
319,0.318,0.037653573
320,0.319,0.038382237
321,0.32,0.039091574
322,0.321,0.039781227
323,0.322,0.04045085
324,0.323,0.041100104
325,0.324,0.041728663
326,0.325,0.04233621
327,0.326,0.04292244
328,0.327,0.043487057
329,0.328,0.044029777
330,0.329,0.044550326
331,0.33,0.045048443
332,0.331,0.045523877
333,0.332,0.045976389
334,0.333,0.046405749
335,0.334,0.046811744
336,0.335,0.047194167
337,0.336,0.047552826
338,0.337,0.047887541
339,0.338,0.048198143
340,0.339,0.048484476
341,0.34,0.048746396
342,0.341,0.04898377
343,0.342,0.049196479
344,0.343,0.049384417
345,0.344,0.049547488
346,0.345,0.04968561
347,0.346,0.049798715
348,0.347,0.049886744
349,0.348,0.049949653
350,0.349,0.049987412
351,0.35,0.05
352,0.351,0.049987412
353,0.352,0.049949653
354,0.353,0.049886744
355,0.354,0.049798715
356,0.355,0.04968561
357,0.356,0.049547488
